1:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):21:ints[0] == 0 |==> ints[0] <= 0
2:ROR:==(int,int):>=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):21:ints[0] == 0 |==> ints[0] >= 0
3:ROR:==(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):21:ints[0] == 0 |==> false
4:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):22:col0 = true; |==> <NO-OP>
5:STD:<BREAK>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):23:break; |==> <NO-OP>
6:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):27:i < n |==> i != n
7:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):27:i < n |==> i <= n
8:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):27:i < n |==> false
9:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):28:matrix[0][i] == 0 |==> matrix[0][i] <= 0
10:ROR:==(int,int):>=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):28:matrix[0][i] == 0 |==> matrix[0][i] >= 0
11:ROR:==(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):28:matrix[0][i] == 0 |==> false
12:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):29:row0 = true; |==> <NO-OP>
13:STD:<BREAK>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):30:break; |==> <NO-OP>
14:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):34:i < m |==> i != m
15:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):34:i < m |==> i <= m
16:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):34:i < m |==> false
17:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):35:j < n |==> j != n
18:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):35:j < n |==> j <= n
19:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):35:j < n |==> false
20:ROR:==(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):36:matrix[i][j] == 0 |==> matrix[i][j] <= 0
21:ROR:==(int,int):>=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):36:matrix[i][j] == 0 |==> matrix[i][j] >= 0
22:ROR:==(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):36:matrix[i][j] == 0 |==> false
23:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):37:matrix[i][0] = 0; |==> <NO-OP>
24:STD:<ASSIGN>:<NO-OP>:g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):38:matrix[0][j] = 0; |==> <NO-OP>
25:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):43:i < m |==> i != m
26:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):43:i < m |==> i <= m
27:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):43:i < m |==> false
28:ROR:<(int,int):!=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):44:j < n |==> j != n
29:ROR:<(int,int):<=(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):44:j < n |==> j <= n
30:ROR:<(int,int):FALSE(int,int):g0001_0100.s0073_set_matrix_zeroes.Solution@setZeroes(int[][]):44:j < n |==> false
