1:ROR:<=(int,int):<(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):17:i <= n |==> i < n
2:ROR:<=(int,int):==(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):17:i <= n |==> i == n
3:ROR:<=(int,int):TRUE(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):17:i <= n |==> true
4:AOR:%(int,int):*(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 |==> i * 3
5:AOR:%(int,int):+(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 |==> i + 3
6:AOR:%(int,int):-(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 |==> i - 3
7:AOR:%(int,int):/(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 |==> i / 3
8:ROR:==(int,int):<=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 |==> i % 3 <= 0
9:ROR:==(int,int):>=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 |==> i % 3 >= 0
10:ROR:==(int,int):FALSE(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 |==> false
11:AOR:%(int,int):*(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 |==> i * 5
12:AOR:%(int,int):+(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 |==> i + 5
13:AOR:%(int,int):-(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 |==> i - 5
14:AOR:%(int,int):/(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 |==> i / 5
15:ROR:==(int,int):<=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 == 0 |==> i % 5 <= 0
16:ROR:==(int,int):>=(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 == 0 |==> i % 5 >= 0
17:ROR:==(int,int):FALSE(int,int):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 5 == 0 |==> false
18:COR:&&(boolean,boolean):==(boolean,boolean):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 && i % 5 == 0 |==> i % 3 == 0 == (i % 5 == 0)
19:COR:&&(boolean,boolean):FALSE(boolean,boolean):g0401_0500.s0412_fizz_buzz.Solution@fizzBuzz(int):18:i % 3 == 0 && i % 5 == 0 |==> false
